impl	instance	items	tp	winsize	total_time	init_time	add_time
Doyle	B1	1	200	20	3.887	0.36	0.017
Doyle	B1	1	400	40	7.04	0.301	0.016
Doyle	B1	1	600	60	11.721	0.298	0.018
Doyle	B1	1	800	80	17.781	0.312	0.021
Doyle	B1	1	1000	100	24.395	0.314	0.024
Doyle	B1	1	1200	120	33.261	0.304	0.027
Doyle	B1	1	1400	140	40.568	0.325	0.028
Doyle	B1	1	1600	160	48.394	0.322	0.029
Doyle	B1	1	1800	180	57.847	0.299	0.031
Doyle	B1	1	2000	200	73.468	0.337	0.036
Doyle	B2	1	200	20	4.206	0.339	0.019
Doyle	B2	1	400	40	10.667	0.305	0.025
Doyle	B2	1	600	60	15.156	0.346	0.024
Doyle	B2	1	800	80	20.033	0.312	0.024
Doyle	B2	1	1000	100	28.054	0.296	0.027
Doyle	B2	1	1200	120	41.128	0.3	0.033
Doyle	B2	1	1400	140	51.826	0.298	0.036
Doyle	B2	1	1600	160	57.184	0.286	0.035
Doyle	B2	1	1800	180	70.25	0.297	0.038
Doyle	B2	1	2000	200	98.04	0.339	0.048
