impl	instance	items	tp	winsize	total_time	init_time	add_time
Doyle	A2	1	1000	20	2.869	0.016	0.002
Doyle	A2	1	1000	40	3.201	0.018	0.003
Doyle	A2	1	1000	80	3.365	0.019	0.003
Doyle	A2	1	1000	120	3.547	0.02	0.003
Doyle	A2	1	1000	160	3.842	0.018	0.003
Doyle	A2	1	1000	200	3.7	0.019	0.003
Doyle	A1	1	1000	20	2.638	0.016	0.002
Doyle	A1	1	1000	40	3.006	0.018	0.002
Doyle	A1	1	1000	80	2.938	0.018	0.002
Doyle	A1	1	1000	120	3.439	0.019	0.003
Doyle	A1	1	1000	160	3.554	0.017	0.003
Doyle	A1	1	1000	200	3.674	0.018	0.003
