impl	instance	items	tp	winsize	total_time	init_time	add_time
ClingoPush	A2	1	100	60	2.998	0.026	0.029
ClingoPush	A2	1	200	60	5.727	0.023	0.028
ClingoPush	A2	1	300	60	9.06	0.026	0.03
ClingoPush	A2	1	400	60	11.783	0.021	0.029
ClingoPush	A2	1	500	60	14.26	0.021	0.028
ClingoPush	A2	1	600	60	17.439	0.02	0.029
ClingoPush	A2	1	700	60	20.321	0.021	0.028
ClingoPush	A2	1	800	60	23.3	0.02	0.029
ClingoPush	A2	1	900	60	26.51	0.021	0.029
ClingoPush	A2	1	1000	60	30.077	0.024	0.03
ClingoPush	A1	1	100	60	2.78	0.026	0.027
ClingoPush	A1	1	200	60	5.49	0.022	0.027
ClingoPush	A1	1	300	60	8.269	0.022	0.027
ClingoPush	A1	1	400	60	11.379	0.026	0.028
ClingoPush	A1	1	500	60	14.192	0.024	0.028
ClingoPush	A1	1	600	60	16.709	0.023	0.027
ClingoPush	A1	1	700	60	20.049	0.021	0.028
ClingoPush	A1	1	800	60	22.534	0.021	0.028
ClingoPush	A1	1	900	60	25.892	0.024	0.028
ClingoPush	A1	1	1000	60	27.501	0.021	0.027
