impl	instance	items	tp	winsize	total_time	init_time	add_time
Doyle	A2	1	100	60	0.418	0.019	0.003
Doyle	A2	1	200	60	0.89	0.017	0.004
Doyle	A2	1	300	60	1.097	0.021	0.003
Doyle	A2	1	400	60	1.563	0.02	0.003
Doyle	A2	1	500	60	1.81	0.017	0.003
Doyle	A2	1	600	60	2.181	0.021	0.003
Doyle	A2	1	700	60	2.438	0.018	0.003
Doyle	A2	1	800	60	3.371	0.02	0.004
Doyle	A2	1	900	60	3.22	0.018	0.003
Doyle	A2	1	1000	60	3.5	0.019	0.003
Doyle	A1	1	100	60	0.368	0.023	0.003
Doyle	A1	1	200	60	0.674	0.02	0.003
Doyle	A1	1	300	60	1.072	0.026	0.003
Doyle	A1	1	400	60	1.307	0.02	0.003
Doyle	A1	1	500	60	1.695	0.017	0.003
Doyle	A1	1	600	60	1.945	0.02	0.003
Doyle	A1	1	700	60	2.217	0.017	0.003
Doyle	A1	1	800	60	2.627	0.018	0.003
Doyle	A1	1	900	60	3.183	0.022	0.003
Doyle	A1	1	1000	60	3.42	0.021	0.003
