impl	instance	items	tp	winsize	total_time	init_time	add_time
Doyle	B1	1	1000	20	15.641	0.292	0.015
Doyle	B1	1	1000	40	16.726	0.315	0.016
Doyle	B1	1	1000	80	21.135	0.299	0.02
Doyle	B1	1	1000	120	25.909	0.304	0.025
Doyle	B1	1	1000	160	30.659	0.363	0.03
Doyle	B1	1	1000	200	33.541	0.306	0.033
Doyle	B2	1	1000	20	34.717	0.292	0.033
Doyle	B2	1	1000	40	35.744	0.333	0.034
Doyle	B2	1	1000	80	25.767	0.298	0.025
Doyle	B2	1	1000	120	33.788	0.29	0.033
Doyle	B2	1	1000	160	31.1	0.303	0.03
Doyle	B2	1	1000	200	37.612	0.33	0.036
