impl	instance	items	tp	winsize	total_time	init_time	add_time
Doyle	B1	1	100	60	1.895	0.32	0.015
Doyle	B1	1	200	60	3.971	0.293	0.018
Doyle	B1	1	300	60	6.82	0.475	0.021
Doyle	B1	1	400	60	8.518	0.332	0.02
Doyle	B1	1	500	60	10.64	0.351	0.02
Doyle	B1	1	600	60	12.816	0.353	0.02
Doyle	B1	1	700	60	15.773	0.333	0.021
Doyle	B1	1	800	60	16.756	0.318	0.02
Doyle	B1	1	900	60	16.96	0.298	0.018
Doyle	B1	1	1000	60	18.602	0.298	0.018
Doyle	B2	1	100	60	1.838	0.299	0.015
Doyle	B2	1	200	60	3.982	0.304	0.018
Doyle	B2	1	300	60	6.126	0.359	0.019
Doyle	B2	1	400	60	9.062	0.29	0.021
Doyle	B2	1	500	60	11.625	0.289	0.022
Doyle	B2	1	600	60	14.974	0.297	0.024
Doyle	B2	1	700	60	18.301	0.29	0.025
Doyle	B2	1	800	60	22.947	0.286	0.028
Doyle	B2	1	900	60	28.979	0.366	0.031
Doyle	B2	1	1000	60	28.993	0.334	0.028
